text,total_annotators,hate_speech_ratio,balance_score
Who hurt you? Lol. It's comical how stupid and angry you people are.  MEH AMURICA. MY LAND. MINE. BANG BANG GUNS. NO BROWN PEOPLE. WAHH.,59,50.8%,0.0085
"RT @JihadistJoe: We Muslims have no military honour whatsoever, we are sub human savages that slaughter unarmed men, women & children http:…",86,57.0%,0.0698
"im ,i hate black people and minorities",33,42.4%,0.0758
"My God look at these BARBARIC PPL. And these pigs all watching. They r a very, very sick culture. And Omar and Rashid want this crap here. This is America not the Middle East. Round them up and send them home.",79,58.2%,0.0823
"They all need to be Kicked, taken out of our country. Obama brought them all in Illegally. Send the Trash back to there own country",96,60.4%,0.1042
holy shit i am just getting dunked on by a cripple this is unreal,38,63.2%,0.1316
"It takes belief in false morality to commit atrocities. Those who believe in the false morality of anti-abortion, anti-gay religions are primed for authoritarianism. They use their beliefs to prop themselves up as superior to others. They excuse all transgressions made by hose who share their beliefs. That is how they excuse the obvious and undeniable immorality of Trump. It is only a small step from there to dehumanizing others and committing genocidal acts like separating migrant children from their parents or ignoring the threat of climate change.",38,36.8%,0.1316
gay people should die,74,63.5%,0.1351
"Aint nobody wearing those new Westbrook ""Jordan's"" but Mexicans & trailer park trash white girls.",44,63.6%,0.1364
shut the fuck up you dumb black bitch,45,64.4%,0.1444
i hate jews so much i wish the holocaust actually happened,79,64.6%,0.1456
Learn the fucking language you fucking useless immigrant.,37,67.6%,0.1757
"Lady in the back Blinks when ""her"" camera red light goes on. Part of the tranny SHOW. Before ya deny...see: Transvestigations on Yt. Trannies are PROUD to show How It's Done!👍",64,28.1%,0.2188
do you have autism or something? why do you talk like a disgusting retard?,28,75.0%,0.25
"At 7:19 is why I hate people, women especially look how mad she got just because the dog splashed her.. f*** you you stupid b**** either have fun or go kill yourself",80,76.2%,0.2625
