text,total_annotators,hate_speech_ratio,balance_score
"Lady in the back Blinks when ""her"" camera red light goes on. Part of the tranny SHOW. Before ya deny...see: Transvestigations on Yt. Trannies are PROUD to show How It's Done!👍",30,53.3%,0.0333
@blackrepublican how long after the name change will al memorabilia w/redskins name be deemed racist and therby illegal?,11,45.5%,0.0455
i hate jews so much i wish the holocaust actually happened,25,56.0%,0.06
gay people should die,21,57.1%,0.0714
"Careful what you wish for, you always wanted to feel a huge cock up your hole bitch so now whimper all you like, squeal & cry that ain't gonna stop this bull from raping your boi pussy apart he'll only stop when he is done and shoots his load and breed you URL",12,58.3%,0.0833
Who hurt you? Lol. It's comical how stupid and angry you people are.  MEH AMURICA. MY LAND. MINE. BANG BANG GUNS. NO BROWN PEOPLE. WAHH.,17,41.2%,0.0882
trump is the only jews true friend. I hope trump will be the next US president and help Israel to kill all Palestinian fucking muslim. we will kill all muslim in the world.,17,58.8%,0.0882
"Aint nobody wearing those new Westbrook ""Jordan's"" but Mexicans & trailer park trash white girls.",16,62.5%,0.125
"im ,i hate black people and minorities",11,36.4%,0.1364
"My God look at these BARBARIC PPL. And these pigs all watching. They r a very, very sick culture. And Omar and Rashid want this crap here. This is America not the Middle East. Round them up and send them home.",23,69.6%,0.1957
Learn the fucking language you fucking useless immigrant.,10,70.0%,0.2
holy shit i am just getting dunked on by a cripple this is unreal,10,70.0%,0.2
"GET RID OF THOSE FUCKING MUSLIMS! the nasty ones that won't assimilate, rape women, beat children, threaten democracy, plan terror attacks, assault innocent secular people and force their disgusting religion on everyone else by way of violence. Assimilate OR GET THE FUCK OUT OR BE PREPARED TO DIE!",22,72.7%,0.2273
"It takes belief in false morality to commit atrocities. Those who believe in the false morality of anti-abortion, anti-gay religions are primed for authoritarianism. They use their beliefs to prop themselves up as superior to others. They excuse all transgressions made by hose who share their beliefs. That is how they excuse the obvious and undeniable immorality of Trump. It is only a small step from there to dehumanizing others and committing genocidal acts like separating migrant children from their parents or ignoring the threat of climate change.",8,25.0%,0.25
"RT @JihadistJoe: We Muslims have no military honour whatsoever, we are sub human savages that slaughter unarmed men, women & children http:…",21,76.2%,0.2619
