text,total_annotators,hate_speech_ratio
gay people should die,791,62.5%
i hate jews so much i wish the holocaust actually happened,790,69.0%
"My God look at these BARBARIC PPL. And these pigs all watching. They r a very, very sick culture. And Omar and Rashid want this crap here. This is America not the Middle East. Round them up and send them home.",778,66.1%
"RT @JihadistJoe: We Muslims have no military honour whatsoever, we are sub human savages that slaughter unarmed men, women & children http:…",772,56.7%
"They all need to be Kicked, taken out of our country. Obama brought them all in Illegally. Send the Trash back to there own country",768,61.6%
"Lady in the back Blinks when ""her"" camera red light goes on. Part of the tranny SHOW. Before ya deny...see: Transvestigations on Yt. Trannies are PROUD to show How It's Done!👍",695,48.6%
Who hurt you? Lol. It's comical how stupid and angry you people are.  MEH AMURICA. MY LAND. MINE. BANG BANG GUNS. NO BROWN PEOPLE. WAHH.,558,34.4%
"im ,i hate black people and minorities",392,35.2%
Learn the fucking language you fucking useless immigrant.,391,68.3%
"Aint nobody wearing those new Westbrook ""Jordan's"" but Mexicans & trailer park trash white girls.",389,62.2%
holy shit i am just getting dunked on by a cripple this is unreal,365,63.6%
