set,set_order,comment_id,text,n_wc,n_hate_wc,n_not_hate_wc,hate_rate_wc,n_bl,n_hate_bl,n_not_hate_bl,hate_rate_bl,abs_hate_rate_difference,human_polarization_jsd
Disagreement,1,20070,Who hurt you? Lol. It's comical how stupid and angry you people are.  MEH AMURICA. MY LAND. MINE. BANG BANG GUNS. NO BROWN PEOPLE. WAHH.,59,30,29,0.5084745762711864,17,7,10,0.4117647058823529,0.0967098703888335,0.006800781599561767
Disagreement,2,20018,"RT @JihadistJoe: We Muslims have no military honour whatsoever, we are sub human savages that slaughter unarmed men, women & children http:…",86,49,37,0.5697674418604651,21,16,5,0.7619047619047619,0.19213732004429673,0.030240263210927584
Disagreement,3,20043,"im ,i hate black people and minorities",33,14,19,0.42424242424242425,11,4,7,0.36363636363636365,0.06060606060606061,0.002776531576962732
Disagreement,4,20017,"My God look at these BARBARIC PPL. And these pigs all watching. They r a very, very sick culture. And Omar and Rashid want this crap here. This is America not the Middle East. Round them up and send them home.",79,46,33,0.5822784810126582,23,16,7,0.6956521739130435,0.11337369290038524,0.010079493971342347
Disagreement,5,20040,holy shit i am just getting dunked on by a cripple this is unreal,38,24,14,0.631578947368421,10,7,3,0.7,0.06842105263157894,0.0037990730802443177
Disagreement,6,20051,"It takes belief in false morality to commit atrocities. Those who believe in the false morality of anti-abortion, anti-gay religions are primed for authoritarianism. They use their beliefs to prop themselves up as superior to others. They excuse all transgressions made by hose who share their beliefs. That is how they excuse the obvious and undeniable immorality of Trump. It is only a small step from there to dehumanizing others and committing genocidal acts like separating migrant children from their parents or ignoring the threat of climate change.",38,14,24,0.3684210526315789,8,2,6,0.25,0.11842105263157893,0.01189497388983534
Disagreement,7,20034,gay people should die,74,47,27,0.6351351351351351,21,12,9,0.5714285714285714,0.06370656370656369,0.003060643997096811
Disagreement,8,20038,"Aint nobody wearing those new Westbrook ""Jordan's"" but Mexicans & trailer park trash white girls.",44,28,16,0.6363636363636364,16,10,6,0.625,0.011363636363636354,9.998185340784617e-05
Disagreement,9,20047,i hate jews so much i wish the holocaust actually happened,79,51,28,0.6455696202531646,25,14,11,0.56,0.0855696202531645,0.005523175303481163
Disagreement,10,20029,Learn the fucking language you fucking useless immigrant.,37,25,12,0.6756756756756757,10,7,3,0.7,0.024324324324324298,0.000497029857547302
Disagreement,11,20063,"Lady in the back Blinks when ""her"" camera red light goes on. Part of the tranny SHOW. Before ya deny...see: Transvestigations on Yt. Trannies are PROUD to show How It's Done!👍",64,18,46,0.28125,30,16,14,0.5333333333333333,0.2520833333333333,0.04808642442474362
Consensus,1,20012,"""@iamkrause: No need to thank me, killing niggers is it's own reward.""  Dis my pal from our graduation when we was 26",88,85,3,0.9659090909090909,23,23,0,1.0,0.03409090909090906,0.01725868540132646
Consensus,2,20003,#whitepower...I'll hang you nigger,72,70,2,0.9722222222222222,28,28,0,1.0,0.02777777777777779,0.014030002224508878
Consensus,3,20049,31 Black Women Who Died In Police Custody URL,74,0,74,0.0,23,1,22,0.043478260869565216,0.043478260869565216,0.022087636184705946
Consensus,4,20025,@L1LTR4P fucking losers wetbacks #SorryNotSorry,32,32,0,1.0,10,10,0,1.0,0.0,0.0
Consensus,5,20001,@Legionary1488 @JomavaesJos now we have a Ebloa case in Texas. If we kill all the niggers we might be safe.,96,96,0,1.0,21,21,0,1.0,0.0,0.0
Consensus,6,20023,Every gook in #LosAngeles should be deported or killed.,76,75,1,0.9868421052631579,22,22,0,1.0,0.013157894736842146,0.006610376123793681
Consensus,7,20007,Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,74,70,4,0.9459459459459459,20,19,1,0.95,0.004054054054054013,6.01094676772316e-05
Consensus,8,20008,Fuck you fuck you you stupid cheating bitch go lick a dick and die ur a stupid nigger bitch,93,90,3,0.967741935483871,25,24,1,0.96,0.007741935483871032,0.0003109655779502865
Consensus,9,20028,Fucking fagot burn in hell,38,36,2,0.9473684210526315,10,10,0,1.0,0.052631578947368474,0.02682890139785813
Consensus,10,20010,"Hey ,muslim dickhead !!!!!!!! Why don;t you go and shove Allah or whatever the fuck you call the retard up your stupid backwards ass !!!!!!!!! You fucking muslims are a bunch of jealous west hating mongs, Islam is a peaceful religion, BULLSHIT !!!!!!! There are many times when it refers to violence. So go strap on your suicide bomb and blow yourself up. yey, one less feeble minded prick ion the world.",74,72,2,0.972972972972973,18,17,1,0.9444444444444444,0.028528528528528607,0.00378195819542638
Consensus,11,20045,Hitler didn't finish it. Can u. If a nigger ur Jew confronts u in the street what then.,86,85,1,0.9883720930232558,27,27,0,1.0,0.011627906976744207,0.005838479247654304
Consensus,12,20060,I love that you enjoy being trans.,70,1,69,0.014285714285714285,21,1,20,0.047619047619047616,0.03333333333333333,0.007036432562251461
Consensus,13,20062,I've always been proud of the Igbo tribe and our culture. Yesterday made me even more proud. You people are too fine abeg. #OgbakoUmuIgboDay,71,0,71,0.0,15,0,15,0.0,0.0,0.0
Consensus,14,20052,"It's just really pointless and insulting to people who actually experience racism by implying our society is in need of a reminder that being a white person is okay. Because I doubt one genuine look at history would leave anyone wondering if ""being white"" in the U.S. will be perceived as a problem.  The very concept of on a personal level being okay with the fact you were born with the skin color you were born with is of course not racist. But the statement just makes it seem like white people are at risk to become some sort of outcasts.",84,8,76,0.09523809523809523,24,1,23,0.041666666666666664,0.05357142857142857,0.008322201771014065
Consensus,15,20011,"JEW Get the fuck out of here you jewish son of a bitch, I'll rape your fucking family if you don't leave you semite bastard. I will shoot you if you return, because you're a dirty semite, I hope you choke on a fucking bagel, prick. Shalom. We Came In?",93,91,2,0.978494623655914,22,22,0,1.0,0.021505376344086002,0.010836998799128545
Consensus,16,20064,Lailat al Miraj mubarak to all Muslims.. I'm wishing for everyone's peace & prosperity🤲🏻,78,1,77,0.01282051282051282,21,0,21,0.0,0.01282051282051282,0.006440089020871504
Consensus,17,20030,Looks like a nigger with their typical retarded haircuts,47,43,4,0.9148936170212766,11,10,1,0.9090909090909091,0.005802707930367523,7.566687550910074e-05
Consensus,18,20046,"Men are still ten times more likely to die on the job. As we get more ""equality"", I don't see women taking dangerous jobs from men. Women are taking safe jobs from men so even more men will die on the job. If we were to have a another Vietnam (60,000 killed), 97% will be men. Men die earlier than women, but spending on woman's healthcare research (breast, ovarian cancer etc.) is four (4) times greater than the sending on mens healthcare research (prostate, testicular cancer etc.). The list goes on.",39,0,39,0.0,7,0,7,0.0,0.0,0.0
Consensus,19,20066,NUGS lauds Ghanaian Muslims for their immense contribution to peace and progess - URL,71,2,69,0.028169014084507043,26,0,26,0.0,0.028169014084507043,0.014229652325568921
