set,set_order,comment_id,text,n_wc,n_hate_wc,n_not_hate_wc,hate_rate_wc,n_bl,n_hate_bl,n_not_hate_bl,hate_rate_bl,abs_hate_rate_difference,human_polarization_jsd
Disagreement,1,20070,Who hurt you? Lol. It's comical how stupid and angry you people are.  MEH AMURICA. MY LAND. MINE. BANG BANG GUNS. NO BROWN PEOPLE. WAHH.,59,30,29,0.5084745762711864,17,7,10,0.4117647058823529,0.0967098703888335,0.006800781599561767
Disagreement,2,20018,"RT @JihadistJoe: We Muslims have no military honour whatsoever, we are sub human savages that slaughter unarmed men, women & children http:…",86,49,37,0.5697674418604651,21,16,5,0.7619047619047619,0.19213732004429673,0.030240263210927584
Disagreement,3,20043,"im ,i hate black people and minorities",33,14,19,0.42424242424242425,11,4,7,0.36363636363636365,0.06060606060606061,0.002776531576962732
Disagreement,4,20017,"My God look at these BARBARIC PPL. And these pigs all watching. They r a very, very sick culture. And Omar and Rashid want this crap here. This is America not the Middle East. Round them up and send them home.",79,46,33,0.5822784810126582,23,16,7,0.6956521739130435,0.11337369290038524,0.010079493971342347
Disagreement,5,20040,holy shit i am just getting dunked on by a cripple this is unreal,38,24,14,0.631578947368421,10,7,3,0.7,0.06842105263157894,0.0037990730802443177
Disagreement,6,20051,"It takes belief in false morality to commit atrocities. Those who believe in the false morality of anti-abortion, anti-gay religions are primed for authoritarianism. They use their beliefs to prop themselves up as superior to others. They excuse all transgressions made by hose who share their beliefs. That is how they excuse the obvious and undeniable immorality of Trump. It is only a small step from there to dehumanizing others and committing genocidal acts like separating migrant children from their parents or ignoring the threat of climate change.",38,14,24,0.3684210526315789,8,2,6,0.25,0.11842105263157893,0.01189497388983534
Disagreement,7,20034,gay people should die,74,47,27,0.6351351351351351,21,12,9,0.5714285714285714,0.06370656370656369,0.003060643997096811
Disagreement,8,20038,"Aint nobody wearing those new Westbrook ""Jordan's"" but Mexicans & trailer park trash white girls.",44,28,16,0.6363636363636364,16,10,6,0.625,0.011363636363636354,9.998185340784617e-05
Disagreement,9,20047,i hate jews so much i wish the holocaust actually happened,79,51,28,0.6455696202531646,25,14,11,0.56,0.0855696202531645,0.005523175303481163
Disagreement,10,20029,Learn the fucking language you fucking useless immigrant.,37,25,12,0.6756756756756757,10,7,3,0.7,0.024324324324324298,0.000497029857547302
Disagreement,11,20063,"Lady in the back Blinks when ""her"" camera red light goes on. Part of the tranny SHOW. Before ya deny...see: Transvestigations on Yt. Trannies are PROUD to show How It's Done!👍",64,18,46,0.28125,30,16,14,0.5333333333333333,0.2520833333333333,0.04808642442474362
