prompt_variant,temperature,persona,text,n_valid_llm,llm_entropy,human_entropy,entropy_gap,llm_max_probability,exact_monolith,near_monolith_95
Aggressive,0.0,WC,Who hurt you? Lol. It's comical how stupid and angry you people are.  MEH AMURICA. MY LAND. MINE. BANG BANG GUNS. NO BROWN PEOPLE. WAHH.,50,-0.0,0.9997927658541268,-0.9997927658541268,1.0,True,True
Aggressive,0.0,BL,Who hurt you? Lol. It's comical how stupid and angry you people are.  MEH AMURICA. MY LAND. MINE. BANG BANG GUNS. NO BROWN PEOPLE. WAHH.,50,-0.0,0.9774178175281716,-0.9774178175281716,1.0,True,True
Aggressive,0.0,WC,"RT @JihadistJoe: We Muslims have no military honour whatsoever, we are sub human savages that slaughter unarmed men, women & children http:…",50,-0.0,0.985909442028652,-0.985909442028652,1.0,True,True
Aggressive,0.0,BL,"RT @JihadistJoe: We Muslims have no military honour whatsoever, we are sub human savages that slaughter unarmed men, women & children http:…",50,-0.0,0.7918583525674836,-0.7918583525674836,1.0,True,True
Aggressive,0.0,WC,"im ,i hate black people and minorities",50,-0.0,0.9833761901392235,-0.9833761901392235,1.0,True,True
Aggressive,0.0,BL,"im ,i hate black people and minorities",50,-0.0,0.9456603046006401,-0.9456603046006401,1.0,True,True
Aggressive,0.0,WC,"My God look at these BARBARIC PPL. And these pigs all watching. They r a very, very sick culture. And Omar and Rashid want this crap here. This is America not the Middle East. Round them up and send them home.",50,-0.0,0.9803775087156907,-0.9803775087156907,1.0,True,True
Aggressive,0.0,BL,"My God look at these BARBARIC PPL. And these pigs all watching. They r a very, very sick culture. And Omar and Rashid want this crap here. This is America not the Middle East. Round them up and send them home.",50,-0.0,0.8865408928220899,-0.8865408928220899,1.0,True,True
Aggressive,0.0,WC,holy shit i am just getting dunked on by a cripple this is unreal,50,-0.0,0.9494520153879484,-0.9494520153879484,1.0,True,True
Aggressive,0.0,BL,holy shit i am just getting dunked on by a cripple this is unreal,50,-0.0,0.8812908992306927,-0.8812908992306927,1.0,True,True
Aggressive,0.0,WC,"It takes belief in false morality to commit atrocities. Those who believe in the false morality of anti-abortion, anti-gay religions are primed for authoritarianism. They use their beliefs to prop themselves up as superior to others. They excuse all transgressions made by hose who share their beliefs. That is how they excuse the obvious and undeniable immorality of Trump. It is only a small step from there to dehumanizing others and committing genocidal acts like separating migrant children from their parents or ignoring the threat of climate change.",50,-0.0,0.9494520153879484,-0.9494520153879484,1.0,True,True
Aggressive,0.0,BL,"It takes belief in false morality to commit atrocities. Those who believe in the false morality of anti-abortion, anti-gay religions are primed for authoritarianism. They use their beliefs to prop themselves up as superior to others. They excuse all transgressions made by hose who share their beliefs. That is how they excuse the obvious and undeniable immorality of Trump. It is only a small step from there to dehumanizing others and committing genocidal acts like separating migrant children from their parents or ignoring the threat of climate change.",50,-0.0,0.8112781244591328,-0.8112781244591328,1.0,True,True
