text,total_annotators,hate_speech_ratio,balance_score
"Aint nobody wearing those new Westbrook ""Jordan's"" but Mexicans & trailer park trash white girls.",71,50.7%,0.007
"RT @JihadistJoe: We Muslims have no military honour whatsoever, we are sub human savages that slaughter unarmed men, women & children http:…",158,58.2%,0.0823
"Lady in the back Blinks when ""her"" camera red light goes on. Part of the tranny SHOW. Before ya deny...see: Transvestigations on Yt. Trannies are PROUD to show How It's Done!👍",140,60.0%,0.1
"They all need to be Kicked, taken out of our country. Obama brought them all in Illegally. Send the Trash back to there own country",136,63.2%,0.1324
"im ,i hate black people and minorities",74,36.5%,0.1351
holy shit i am just getting dunked on by a cripple this is unreal,66,66.7%,0.1667
Learn the fucking language you fucking useless immigrant.,79,67.1%,0.1709
gay people should die,152,67.1%,0.1711
"My God look at these BARBARIC PPL. And these pigs all watching. They r a very, very sick culture. And Omar and Rashid want this crap here. This is America not the Middle East. Round them up and send them home.",154,67.5%,0.1753
i hate jews so much i wish the holocaust actually happened,158,67.7%,0.1772
Who hurt you? Lol. It's comical how stupid and angry you people are.  MEH AMURICA. MY LAND. MINE. BANG BANG GUNS. NO BROWN PEOPLE. WAHH.,84,28.6%,0.2143
trump is the only jews true friend. I hope trump will be the next US president and help Israel to kill all Palestinian fucking muslim. we will kill all muslim in the world.,163,76.1%,0.2607
ayo i even kill handicapped and crippled bitches/look at my scalp real close and you'll see triple sixes,145,77.2%,0.2724
shut the fuck up you dumb black bitch,76,80.3%,0.3026
"This is why we won, because Americans know that giving these people power for another day is unacceptable. We need to fight back against the Synagogue and their White/Mexican/Black Communist useful idiots they get to do their dirty work for them. I am armed and I am ready for these scum if they try to resist being sent back to Mexico/Guatemala all these illegal invaders that want to invade our nations and change it to suit their savage ways. Illegals must die.",161,80.7%,0.3075
