text,iteration_id,whicon_vote,blalib_vote
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,1,2.0,2
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,2,2.0,2
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,3,2.0,2
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,4,2.0,2
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,5,2.0,2
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,6,2.0,2
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,7,2.0,2
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,8,2.0,2
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,9,2.0,2
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,10,2.0,2
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,11,2.0,2
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,12,2.0,2
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,13,2.0,2
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,14,2.0,2
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,15,2.0,2
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,16,2.0,2
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,17,2.0,2
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,18,2.0,2
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,19,2.0,2
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,20,2.0,2
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,21,2.0,2
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,22,2.0,2
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,23,2.0,2
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,24,2.0,2
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,25,2.0,2
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,26,2.0,2
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,27,2.0,2
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,28,2.0,2
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,29,2.0,2
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,30,2.0,2
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,31,2.0,2
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,32,2.0,2
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,33,2.0,2
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,34,2.0,2
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,35,2.0,2
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,36,2.0,2
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,37,2.0,2
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,38,2.0,2
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,39,2.0,2
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,40,2.0,2
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,41,2.0,2
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,42,2.0,2
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,43,2.0,2
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,44,2.0,2
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,45,2.0,2
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,46,2.0,2
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,47,2.0,2
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,48,2.0,2
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,49,2.0,2
Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,50,2.0,2
Looks like a nigger with their typical retarded haircuts,1,2.0,2
Looks like a nigger with their typical retarded haircuts,2,2.0,2
Looks like a nigger with their typical retarded haircuts,3,2.0,2
Looks like a nigger with their typical retarded haircuts,4,2.0,2
Looks like a nigger with their typical retarded haircuts,5,2.0,2
Looks like a nigger with their typical retarded haircuts,6,2.0,2
Looks like a nigger with their typical retarded haircuts,7,2.0,2
Looks like a nigger with their typical retarded haircuts,8,2.0,2
Looks like a nigger with their typical retarded haircuts,9,2.0,2
Looks like a nigger with their typical retarded haircuts,10,1.0,2
Looks like a nigger with their typical retarded haircuts,11,2.0,2
Looks like a nigger with their typical retarded haircuts,12,2.0,2
Looks like a nigger with their typical retarded haircuts,13,,2
Looks like a nigger with their typical retarded haircuts,14,1.0,2
Looks like a nigger with their typical retarded haircuts,15,2.0,2
Looks like a nigger with their typical retarded haircuts,16,2.0,2
Looks like a nigger with their typical retarded haircuts,17,,2
Looks like a nigger with their typical retarded haircuts,18,2.0,2
Looks like a nigger with their typical retarded haircuts,19,2.0,2
Looks like a nigger with their typical retarded haircuts,20,1.0,2
Looks like a nigger with their typical retarded haircuts,21,2.0,2
Looks like a nigger with their typical retarded haircuts,22,1.0,2
Looks like a nigger with their typical retarded haircuts,23,2.0,2
Looks like a nigger with their typical retarded haircuts,24,2.0,2
Looks like a nigger with their typical retarded haircuts,25,1.0,2
Looks like a nigger with their typical retarded haircuts,26,2.0,2
Looks like a nigger with their typical retarded haircuts,27,2.0,2
Looks like a nigger with their typical retarded haircuts,28,2.0,2
Looks like a nigger with their typical retarded haircuts,29,2.0,2
Looks like a nigger with their typical retarded haircuts,30,2.0,2
Looks like a nigger with their typical retarded haircuts,31,2.0,2
Looks like a nigger with their typical retarded haircuts,32,2.0,2
Looks like a nigger with their typical retarded haircuts,33,2.0,2
Looks like a nigger with their typical retarded haircuts,34,2.0,2
Looks like a nigger with their typical retarded haircuts,35,1.0,2
Looks like a nigger with their typical retarded haircuts,36,1.0,2
Looks like a nigger with their typical retarded haircuts,37,2.0,2
Looks like a nigger with their typical retarded haircuts,38,2.0,2
Looks like a nigger with their typical retarded haircuts,39,,2
Looks like a nigger with their typical retarded haircuts,40,,2
Looks like a nigger with their typical retarded haircuts,41,2.0,2
Looks like a nigger with their typical retarded haircuts,42,2.0,2
Looks like a nigger with their typical retarded haircuts,43,2.0,2
Looks like a nigger with their typical retarded haircuts,44,2.0,2
Looks like a nigger with their typical retarded haircuts,45,2.0,2
Looks like a nigger with their typical retarded haircuts,46,2.0,2
Looks like a nigger with their typical retarded haircuts,47,2.0,2
Looks like a nigger with their typical retarded haircuts,48,2.0,2
Looks like a nigger with their typical retarded haircuts,49,2.0,2
Looks like a nigger with their typical retarded haircuts,50,2.0,2
Stupid Asian Bitch You're an idiot and you should go back to ching chong land,1,2.0,2
Stupid Asian Bitch You're an idiot and you should go back to ching chong land,2,2.0,2
Stupid Asian Bitch You're an idiot and you should go back to ching chong land,3,2.0,2
Stupid Asian Bitch You're an idiot and you should go back to ching chong land,4,2.0,2
Stupid Asian Bitch You're an idiot and you should go back to ching chong land,5,2.0,2
Stupid Asian Bitch You're an idiot and you should go back to ching chong land,6,2.0,2
Stupid Asian Bitch You're an idiot and you should go back to ching chong land,7,2.0,2
Stupid Asian Bitch You're an idiot and you should go back to ching chong land,8,2.0,2
Stupid Asian Bitch You're an idiot and you should go back to ching chong land,9,2.0,2
Stupid Asian Bitch You're an idiot and you should go back to ching chong land,10,2.0,2
Stupid Asian Bitch You're an idiot and you should go back to ching chong land,11,2.0,2
Stupid Asian Bitch You're an idiot and you should go back to ching chong land,12,2.0,2
Stupid Asian Bitch You're an idiot and you should go back to ching chong land,13,2.0,2
Stupid Asian Bitch You're an idiot and you should go back to ching chong land,14,2.0,2
Stupid Asian Bitch You're an idiot and you should go back to ching chong land,15,1.0,2
Stupid Asian Bitch You're an idiot and you should go back to ching chong land,16,2.0,2
Stupid Asian Bitch You're an idiot and you should go back to ching chong land,17,2.0,2
Stupid Asian Bitch You're an idiot and you should go back to ching chong land,18,2.0,2
Stupid Asian Bitch You're an idiot and you should go back to ching chong land,19,2.0,2
Stupid Asian Bitch You're an idiot and you should go back to ching chong land,20,2.0,2
Stupid Asian Bitch You're an idiot and you should go back to ching chong land,21,2.0,2
Stupid Asian Bitch You're an idiot and you should go back to ching chong land,22,2.0,2
Stupid Asian Bitch You're an idiot and you should go back to ching chong land,23,2.0,2
Stupid Asian Bitch You're an idiot and you should go back to ching chong land,24,2.0,2
Stupid Asian Bitch You're an idiot and you should go back to ching chong land,25,2.0,2
Stupid Asian Bitch You're an idiot and you should go back to ching chong land,26,1.0,2
Stupid Asian Bitch You're an idiot and you should go back to ching chong land,27,2.0,2
Stupid Asian Bitch You're an idiot and you should go back to ching chong land,28,2.0,2
Stupid Asian Bitch You're an idiot and you should go back to ching chong land,29,2.0,2
Stupid Asian Bitch You're an idiot and you should go back to ching chong land,30,2.0,2
Stupid Asian Bitch You're an idiot and you should go back to ching chong land,31,2.0,2
Stupid Asian Bitch You're an idiot and you should go back to ching chong land,32,2.0,2
Stupid Asian Bitch You're an idiot and you should go back to ching chong land,33,2.0,2
Stupid Asian Bitch You're an idiot and you should go back to ching chong land,34,2.0,2
Stupid Asian Bitch You're an idiot and you should go back to ching chong land,35,2.0,2
Stupid Asian Bitch You're an idiot and you should go back to ching chong land,36,2.0,2
Stupid Asian Bitch You're an idiot and you should go back to ching chong land,37,2.0,2
Stupid Asian Bitch You're an idiot and you should go back to ching chong land,38,1.0,2
Stupid Asian Bitch You're an idiot and you should go back to ching chong land,39,2.0,2
Stupid Asian Bitch You're an idiot and you should go back to ching chong land,40,2.0,2
Stupid Asian Bitch You're an idiot and you should go back to ching chong land,41,2.0,2
Stupid Asian Bitch You're an idiot and you should go back to ching chong land,42,2.0,2
Stupid Asian Bitch You're an idiot and you should go back to ching chong land,43,2.0,2
Stupid Asian Bitch You're an idiot and you should go back to ching chong land,44,2.0,2
Stupid Asian Bitch You're an idiot and you should go back to ching chong land,45,2.0,2
Stupid Asian Bitch You're an idiot and you should go back to ching chong land,46,2.0,2
Stupid Asian Bitch You're an idiot and you should go back to ching chong land,47,2.0,2
Stupid Asian Bitch You're an idiot and you should go back to ching chong land,48,2.0,2
Stupid Asian Bitch You're an idiot and you should go back to ching chong land,49,2.0,2
Stupid Asian Bitch You're an idiot and you should go back to ching chong land,50,2.0,2
There are not any jew signatures on our Declaration of Independence Those subversive Babylonian blood sucking serpent seed Kenite vampires are not out Founding Fathers posterity. They are not our brethren. They are Christ killers. They are Anti-Christ.,1,2.0,2
There are not any jew signatures on our Declaration of Independence Those subversive Babylonian blood sucking serpent seed Kenite vampires are not out Founding Fathers posterity. They are not our brethren. They are Christ killers. They are Anti-Christ.,2,2.0,2
There are not any jew signatures on our Declaration of Independence Those subversive Babylonian blood sucking serpent seed Kenite vampires are not out Founding Fathers posterity. They are not our brethren. They are Christ killers. They are Anti-Christ.,3,2.0,2
There are not any jew signatures on our Declaration of Independence Those subversive Babylonian blood sucking serpent seed Kenite vampires are not out Founding Fathers posterity. They are not our brethren. They are Christ killers. They are Anti-Christ.,4,2.0,2
There are not any jew signatures on our Declaration of Independence Those subversive Babylonian blood sucking serpent seed Kenite vampires are not out Founding Fathers posterity. They are not our brethren. They are Christ killers. They are Anti-Christ.,5,2.0,2
There are not any jew signatures on our Declaration of Independence Those subversive Babylonian blood sucking serpent seed Kenite vampires are not out Founding Fathers posterity. They are not our brethren. They are Christ killers. They are Anti-Christ.,6,2.0,2
There are not any jew signatures on our Declaration of Independence Those subversive Babylonian blood sucking serpent seed Kenite vampires are not out Founding Fathers posterity. They are not our brethren. They are Christ killers. They are Anti-Christ.,7,2.0,2
There are not any jew signatures on our Declaration of Independence Those subversive Babylonian blood sucking serpent seed Kenite vampires are not out Founding Fathers posterity. They are not our brethren. They are Christ killers. They are Anti-Christ.,8,2.0,2
There are not any jew signatures on our Declaration of Independence Those subversive Babylonian blood sucking serpent seed Kenite vampires are not out Founding Fathers posterity. They are not our brethren. They are Christ killers. They are Anti-Christ.,9,2.0,2
There are not any jew signatures on our Declaration of Independence Those subversive Babylonian blood sucking serpent seed Kenite vampires are not out Founding Fathers posterity. They are not our brethren. They are Christ killers. They are Anti-Christ.,10,2.0,2
There are not any jew signatures on our Declaration of Independence Those subversive Babylonian blood sucking serpent seed Kenite vampires are not out Founding Fathers posterity. They are not our brethren. They are Christ killers. They are Anti-Christ.,11,2.0,2
There are not any jew signatures on our Declaration of Independence Those subversive Babylonian blood sucking serpent seed Kenite vampires are not out Founding Fathers posterity. They are not our brethren. They are Christ killers. They are Anti-Christ.,12,2.0,2
There are not any jew signatures on our Declaration of Independence Those subversive Babylonian blood sucking serpent seed Kenite vampires are not out Founding Fathers posterity. They are not our brethren. They are Christ killers. They are Anti-Christ.,13,2.0,2
There are not any jew signatures on our Declaration of Independence Those subversive Babylonian blood sucking serpent seed Kenite vampires are not out Founding Fathers posterity. They are not our brethren. They are Christ killers. They are Anti-Christ.,14,2.0,2
There are not any jew signatures on our Declaration of Independence Those subversive Babylonian blood sucking serpent seed Kenite vampires are not out Founding Fathers posterity. They are not our brethren. They are Christ killers. They are Anti-Christ.,15,2.0,2
There are not any jew signatures on our Declaration of Independence Those subversive Babylonian blood sucking serpent seed Kenite vampires are not out Founding Fathers posterity. They are not our brethren. They are Christ killers. They are Anti-Christ.,16,2.0,2
There are not any jew signatures on our Declaration of Independence Those subversive Babylonian blood sucking serpent seed Kenite vampires are not out Founding Fathers posterity. They are not our brethren. They are Christ killers. They are Anti-Christ.,17,2.0,2
There are not any jew signatures on our Declaration of Independence Those subversive Babylonian blood sucking serpent seed Kenite vampires are not out Founding Fathers posterity. They are not our brethren. They are Christ killers. They are Anti-Christ.,18,2.0,2
There are not any jew signatures on our Declaration of Independence Those subversive Babylonian blood sucking serpent seed Kenite vampires are not out Founding Fathers posterity. They are not our brethren. They are Christ killers. They are Anti-Christ.,19,2.0,2
There are not any jew signatures on our Declaration of Independence Those subversive Babylonian blood sucking serpent seed Kenite vampires are not out Founding Fathers posterity. They are not our brethren. They are Christ killers. They are Anti-Christ.,20,2.0,2
There are not any jew signatures on our Declaration of Independence Those subversive Babylonian blood sucking serpent seed Kenite vampires are not out Founding Fathers posterity. They are not our brethren. They are Christ killers. They are Anti-Christ.,21,2.0,2
There are not any jew signatures on our Declaration of Independence Those subversive Babylonian blood sucking serpent seed Kenite vampires are not out Founding Fathers posterity. They are not our brethren. They are Christ killers. They are Anti-Christ.,22,2.0,2
There are not any jew signatures on our Declaration of Independence Those subversive Babylonian blood sucking serpent seed Kenite vampires are not out Founding Fathers posterity. They are not our brethren. They are Christ killers. They are Anti-Christ.,23,2.0,2
There are not any jew signatures on our Declaration of Independence Those subversive Babylonian blood sucking serpent seed Kenite vampires are not out Founding Fathers posterity. They are not our brethren. They are Christ killers. They are Anti-Christ.,24,2.0,2
There are not any jew signatures on our Declaration of Independence Those subversive Babylonian blood sucking serpent seed Kenite vampires are not out Founding Fathers posterity. They are not our brethren. They are Christ killers. They are Anti-Christ.,25,2.0,2
There are not any jew signatures on our Declaration of Independence Those subversive Babylonian blood sucking serpent seed Kenite vampires are not out Founding Fathers posterity. They are not our brethren. They are Christ killers. They are Anti-Christ.,26,2.0,2
There are not any jew signatures on our Declaration of Independence Those subversive Babylonian blood sucking serpent seed Kenite vampires are not out Founding Fathers posterity. They are not our brethren. They are Christ killers. They are Anti-Christ.,27,2.0,2
There are not any jew signatures on our Declaration of Independence Those subversive Babylonian blood sucking serpent seed Kenite vampires are not out Founding Fathers posterity. They are not our brethren. They are Christ killers. They are Anti-Christ.,28,2.0,2
There are not any jew signatures on our Declaration of Independence Those subversive Babylonian blood sucking serpent seed Kenite vampires are not out Founding Fathers posterity. They are not our brethren. They are Christ killers. They are Anti-Christ.,29,2.0,2
There are not any jew signatures on our Declaration of Independence Those subversive Babylonian blood sucking serpent seed Kenite vampires are not out Founding Fathers posterity. They are not our brethren. They are Christ killers. They are Anti-Christ.,30,2.0,2
There are not any jew signatures on our Declaration of Independence Those subversive Babylonian blood sucking serpent seed Kenite vampires are not out Founding Fathers posterity. They are not our brethren. They are Christ killers. They are Anti-Christ.,31,2.0,2
There are not any jew signatures on our Declaration of Independence Those subversive Babylonian blood sucking serpent seed Kenite vampires are not out Founding Fathers posterity. They are not our brethren. They are Christ killers. They are Anti-Christ.,32,2.0,2
There are not any jew signatures on our Declaration of Independence Those subversive Babylonian blood sucking serpent seed Kenite vampires are not out Founding Fathers posterity. They are not our brethren. They are Christ killers. They are Anti-Christ.,33,2.0,2
