text,unique_group_annotators
"Lady in the back Blinks when ""her"" camera red light goes on. Part of the tranny SHOW. Before ya deny...see: Transvestigations on Yt. Trannies are PROUD to show How It's Done!👍",30
Why do so many filthy wetback half-breed spic savages live in #LosAngeles? None of them have any right at all to be here.,28
#whitepower...I'll hang you nigger,28
Hitler didn't finish it. Can u. If a nigger ur Jew confronts u in the street what then.,27
"GEEZ..... I think #NorthKorea may be right. #BarackObama is a monkey! Surely acts like one.   URL""",26
DO YOU SEE HOW QUICK THE PROSECUTED THAT BLACK COP IN MPLS. MN. FOR KILLING THAT WHITE NIGGA??? GUESS BARR HAND A HAND IN THAT TO HUH. THESE NIGGA'S ARE GONNA GET THEIR DAY!!,26
NUGS lauds Ghanaian Muslims for their immense contribution to peace and progess - URL,26
"This is why we won, because Americans know that giving these people power for another day is unacceptable. We need to fight back against the Synagogue and their White/Mexican/Black Communist useful idiots they get to do their dirty work for them. I am armed and I am ready for these scum if they try to resist being sent back to Mexico/Guatemala all these illegal invaders that want to invade our nations and change it to suit their savage ways. Illegals must die.",26
i hate jews so much i wish the holocaust actually happened,25
"They all need to be Kicked, taken out of our country. Obama brought them all in Illegally. Send the Trash back to there own country",25
Fuck you fuck you you stupid cheating bitch go lick a dick and die ur a stupid nigger bitch,25
"It's just really pointless and insulting to people who actually experience racism by implying our society is in need of a reminder that being a white person is okay. Because I doubt one genuine look at history would leave anyone wondering if ""being white"" in the U.S. will be perceived as a problem.  The very concept of on a personal level being okay with the fact you were born with the skin color you were born with is of course not racist. But the statement just makes it seem like white people are at risk to become some sort of outcasts.",24
There is plenty of evidence that women and non-white people are disadvantaged in almost every hiring process in the western world.,24
"""@iamkrause: No need to thank me, killing niggers is it's own reward.""  Dis my pal from our graduation when we was 26",23
"My God look at these BARBARIC PPL. And these pigs all watching. They r a very, very sick culture. And Omar and Rashid want this crap here. This is America not the Middle East. Round them up and send them home.",23
