set,set_order,comment_id,n_wc,hate_rate_wc,n_bl,hate_rate_bl,abs_hate_rate_difference,human_polarization_jsd
Disagreement,1,20070,59,0.508,17,0.412,0.097,0.007
Disagreement,2,20018,86,0.57,21,0.762,0.192,0.03
Disagreement,3,20043,33,0.424,11,0.364,0.061,0.003
Disagreement,4,20017,79,0.582,23,0.696,0.113,0.01
Disagreement,5,20040,38,0.632,10,0.7,0.068,0.004
Disagreement,6,20051,38,0.368,8,0.25,0.118,0.012
Disagreement,7,20034,74,0.635,21,0.571,0.064,0.003
Disagreement,8,20038,44,0.636,16,0.625,0.011,0.0
Disagreement,9,20047,79,0.646,25,0.56,0.086,0.006
Disagreement,10,20029,37,0.676,10,0.7,0.024,0.0
Disagreement,11,20063,64,0.281,30,0.533,0.252,0.048
Consensus,1,20012,88,0.966,23,1.0,0.034,0.017
Consensus,2,20003,72,0.972,28,1.0,0.028,0.014
Consensus,3,20049,74,0.0,23,0.043,0.043,0.022
Consensus,4,20025,32,1.0,10,1.0,0.0,0.0
Consensus,5,20001,96,1.0,21,1.0,0.0,0.0
Consensus,6,20023,76,0.987,22,1.0,0.013,0.007
Consensus,7,20007,74,0.946,20,0.95,0.004,0.0
Consensus,8,20008,93,0.968,25,0.96,0.008,0.0
Consensus,9,20028,38,0.947,10,1.0,0.053,0.027
Consensus,10,20010,74,0.973,18,0.944,0.029,0.004
Consensus,11,20045,86,0.988,27,1.0,0.012,0.006
Consensus,12,20060,70,0.014,21,0.048,0.033,0.007
Consensus,13,20062,71,0.0,15,0.0,0.0,0.0
Consensus,14,20052,84,0.095,24,0.042,0.054,0.008
Consensus,15,20011,93,0.978,22,1.0,0.022,0.011
Consensus,16,20064,78,0.013,21,0.0,0.013,0.006
Consensus,17,20030,47,0.915,11,0.909,0.006,0.0
Consensus,18,20046,39,0.0,7,0.0,0.0,0.0
Consensus,19,20066,71,0.028,26,0.0,0.028,0.014
Consensus,20,20031,44,0.955,14,1.0,0.045,0.023
